Ano;Campeao;Vice;Terceiro Lugar
1930;Uruguai;Argentina;Estados Unidos
1934;Itália;Tchecoslováquia;Alemanha
1938;Itália;Hungria;Brasil
1950;Uruguai;Brasil;Suécia
1954;Alemanha Ocidental;Hungria;Áustria
1958;Brasil;Suécia;França
1962;Brasil;Tchecoslováquia;Chile
1966;Inglaterra;Alemanha Ocidental;Portugal
1970;Brasil;Itália;Alemanha Ocidental
1974;Alemanha Ocidental;Holanda;Polônia
1978;Argentina;Holanda;Brasil
1982;Itália;Alemanha Ocidental;Polônia
1986;Argentina;Alemanha Ocidental;França
1990;Alemanha Ocidental;Argentina;Itália
1994;Brasil;Itália;Suécia
1998;França;Brasil;Croácia
2002;Brasil;Alemanha;Turquia
2006;Itália;França;Alemanha
2010;Espanha;Holanda;Alemanha
2014;Alemanha;Argentina;Holanda
2018;França;Croácia;Bélgica
2022;Argentina;França;Croácia
